index0,index1,index2,I.val
3,4,21,0.04479572232761853
3,4,22,0.02948520520096173
3,4,23,0.02493793090964374
3,4,24,0.03100027553198832
4,5,1,0.001333122280627156
4,5,2,0.001271977654987579
4,5,3,0.001331862556140751
4,5,4,0.001335674174675872
4,5,5,0.001302308717303666
4,5,6,0.001375516721931049
4,5,7,0.001299794745305914
4,5,8,0.001279939200005384
4,5,9,0.004006557852726914
4,5,10,0.002281250983265436
4,5,11,0.004325479297250303
4,5,12,0.004339165934366619
4,5,13,0.004335173560336129
4,5,14,0.002665523190435085
4,5,15,0.004356262296044665
4,5,16,0.00359474510988958
4,5,17,0.0043773949973636
4,5,18,0.002830424002661238
4,5,19,0.004392132209717639
4,5,20,0.003027490063773885
4,5,21,0.004048785677367945
4,5,22,0.001678102323506672
4,5,23,0.001283129751359527
4,5,24,0.001306581299216582
4,6,1,0.02931501584200794
4,6,2,0.01444685948808754
4,6,3,0.02899286845866127
4,6,4,0.02897086862847712
4,6,5,0.0201113559950818
4,6,6,0.03065348600782842
4,6,7,0.02503876901580437
4,6,8,0.0242303449694606
4,6,9,0.02416046795012429
4,6,10,0.02067970243841141
4,6,11,0.02455025332470953
4,6,12,0.02456886460373441
4,6,13,0.02458097639917766
4,6,14,0.01907861324386321
4,6,15,0.02459370457297554
4,6,16,0.01902702906937204
4,6,17,0.02455301475056767
4,6,18,0.01924585985204654
4,6,19,0.0245261593076152
4,6,20,0.01968858694475825
4,6,21,0.02415348704004869
4,6,22,0.01846778795398134
4,6,23,0.01614793661192979
4,6,24,0.02101063763244622
6,7,1,0.03027905400751204
6,7,2,0.01512091267241749
6,7,3,0.02994059492299626
6,7,4,0.02989450861338069
6,7,5,0.02087988153012884
6,7,6,0.03162741202336936
6,7,7,0.02597324467000475
6,7,8,0.02521296485797938
6,7,9,0.02517286769015047
6,7,10,0.02166288006618977
6,7,11,0.0255587769235748
6,7,12,0.02557706777297014
6,7,13,0.02560056942132475
6,7,14,0.02002953784521692
6,7,15,0.02560243076250013
6,7,16,0.01994677668667291
6,7,17,0.02550956907578939
6,7,18,0.02011469655312357
6,7,19,0.02544109394730782
6,7,20,0.02054893770326025
6,7,21,0.02507068070827394
6,7,22,0.01929414732180895
6,7,23,0.01691267958026592
6,7,24,0.02185487629458781
7,8,1,0.03055630140756267
7,8,2,0.0153157530234277
7,8,3,0.0302045119201726
7,8,4,0.03017031142342916
7,8,5,0.02112990161596101
7,8,6,0.03199757803355596
7,8,7,0.02640931166346622
7,8,8,0.02577454065053952
7,8,9,0.02584561686140698
7,8,10,0.02242745607535315
7,8,11,0.02643782809000959
7,8,12,0.02654059525340579
7,8,13,0.02661856552027839
7,8,14,0.02101092676783754
7,8,15,0.02665153691614823
7,8,16,0.02088512286309128
7,8,17,0.02642938935125227
7,8,18,0.02086940859894438
7,8,19,0.02613803084531126
7,8,20,0.021122451729813
7,8,21,0.02560218650841955
7,8,22,0.01971606309782661
7,8,23,0.01725380494142207
7,8,24,0.022182068233531
8,9,1,0.03113908171710101
8,9,2,0.01572733478925207
8,9,3,0.03076000872577333
8,9,4,0.03071350785917561
8,9,5,0.02158440189327198
8,9,6,0.03258187853850814
8,9,7,0.0269968501771512
8,9,8,0.02644425481440671
8,9,9,0.02658452189354436
8,9,10,0.02318712301274559
8,9,11,0.0272400417166563
8,9,12,0.02735523159734855
8,9,13,0.02743532641730665
8,9,14,0.02179638450848086
8,9,15,0.0275009832182561
8,9,16,0.02170766474715057
8,9,17,0.02733924820589206
8,9,18,0.0217426984575975
8,9,19,0.0270410976429297
8,9,20,0.02192925427590131
8,9,21,0.02639059028158844
8,9,22,0.02035900829044088
8,9,23,0.01780069567169829
8,9,24,0.02276122924171499
9,10,1,0.00446578900811607
9,10,2,0.004420850629866844
9,10,3,0.004496039237032927
9,10,4,0.00451881892806372
9,10,5,0.004492874345025412
9,10,6,0.004461550830773199
