index0,index1,index2,P.val
20,21,4,0.004327335633445793
20,21,5,0.00429097109855512
20,21,6,0.00450915708807631
20,21,7,0.004945529299152549
20,21,8,0.005527358332965696
20,21,9,0.006000093690827834
20,21,10,0.006254643105932605
20,21,11,0.006363735772654093
20,21,12,0.006400099756998516
20,21,13,0.006400099798942939
20,21,14,0.006472827812889735
20,21,15,0.006436462372899359
20,21,16,0.006472825027917377
20,21,17,0.006436458286087824
20,21,18,0.006400092383359174
20,21,19,0.006218270472041207
20,21,20,0.006000085865233531
20,21,21,0.005745537867688156
20,21,22,0.005454625093496035
20,21,23,0.00516371191860473
20,21,24,0.004945526914236367
20,22,1,-0.07379030396896433
20,22,2,-0.04088790655634523
20,22,3,-0.07665162044597829
20,22,4,-0.0764075482227553
20,22,5,-0.06187983048800463
20,22,6,-0.07087640424648252
20,22,7,-0.06857698115664235
20,22,8,-0.06552494591141386
20,22,9,-0.06270350545067406
20,22,10,-0.06186833235265708
20,22,11,-0.05879115220087099
20,22,12,-0.06029873215011667
20,22,13,-0.06153983664933585
20,22,14,-0.06477583235244483
20,22,15,-0.06280527700457539
20,22,16,-0.0645335077710962
20,22,17,-0.06135394517960672
20,22,18,-0.06430525904562126
20,22,19,-0.05763675576434683
20,22,20,-0.06226569759439388
20,22,21,-0.05324160468803966
20,22,22,-0.05242130079820177
20,22,23,-0.05458000228565029
20,22,24,-0.05674417923972429
21,23,1,0.002763664
21,23,2,0.002763664
21,23,3,0.0027273
21,23,4,0.002690936
21,23,5,0.002654572
21,23,6,0.002800028
21,23,7,0.003054576
21,23,8,0.003345488
21,23,9,0.003527308
21,23,10,0.003600036
21,23,11,0.0036364
21,23,12,0.0036364
21,23,13,0.0036364
21,23,14,0.0036364
21,23,15,0.003563672
21,23,16,0.003490944
21,23,17,0.003345488
21,23,18,0.003236396
21,23,19,0.003127304
21,23,20,0.00309094
21,23,21,0.00309094
21,23,22,0.003054576
21,23,23,0.002981848
21,23,24,0.00290912
22,24,1,-0.06851339269077888
22,24,2,-0.05560743103511839
22,24,3,-0.07565155679231168
22,24,4,-0.07608014421295918
22,24,5,-0.07594340070183409
22,24,6,-0.07485955290924437
22,24,7,-0.07255949518453772
22,24,8,-0.06958288856602982
22,24,9,-0.06687698607414837
22,24,10,-0.0662495296654723
22,24,11,-0.06354320049104992
22,24,12,-0.06396391849498215
22,24,13,-0.06297918396458595
22,24,14,-0.06284958986151092
22,24,15,-0.06247762081703191
22,24,16,-0.06291304784783976
22,24,17,-0.06366023228167102
22,24,18,-0.06485694465318748
22,24,19,-0.06529473073950076
22,24,20,-0.06757766899263289
22,24,21,-0.06912251173799956
22,24,22,-0.06899547436613243
22,24,23,-0.07068196027513811
22,24,24,-0.07237390462935493
22,25,1,0.00327276
22,25,2,0.00327276
22,25,3,0.003200032
22,25,4,0.003127304
22,25,5,0.00309094
22,25,6,0.00309094
22,25,7,0.00309094
22,25,8,0.003127304
22,25,9,0.003163668
22,25,10,0.003200032
22,25,11,0.003236396
22,25,12,0.00327276
22,25,13,0.003345488
22,25,14,0.003381852
22,25,15,0.003418216
22,25,16,0.003490944
22,25,17,0.003527308
22,25,18,0.003600036
22,25,19,0.0036364
22,25,20,0.0036364
